mdl,dset,mse_pred_train,mse_pred_test,mse_sim_train,mse_sim_test,seed,proportion,param_norm
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.26040439781764346,0.2361615272986429,0.3872176340475326,0.3723743998743652,0,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.26040439781764346,0.2361615272986429,0.3872176340475326,0.3723743998743652,1,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.26040439781764346,0.2361615272986429,0.3872176340475326,0.3723743998743652,2,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.26040439781764346,0.2361615272986429,0.3872176340475326,0.3723743998743652,3,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.26040439781764346,0.2361615272986429,0.3872176340475326,0.3723743998743652,4,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.26040439781764346,0.2361615272986429,0.3872176340475326,0.3723743998743652,5,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.26040439781764346,0.2361615272986429,0.3872176340475326,0.3723743998743652,6,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.26040439781764346,0.2361615272986429,0.3872176340475326,0.3723743998743652,7,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.26040439781764346,0.2361615272986429,0.3872176340475326,0.3723743998743652,8,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.26040439781764346,0.2361615272986429,0.3872176340475326,0.3723743998743652,9,0.0,
"RBFNet(39,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.9342084418160777,1.0208706111087262,808.6403672378949,1.9000911160033618,0,0.1,27833225.851975292
"RBFNet(43,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.9187950431880346,0.975067612659,13963.999014135548,1.9525058906409416,0,0.10826367338740543,27080809.964677323
"RBFNet(46,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.9131803201423896,0.9475766463531837,2665.8543135905943,1.9333354034639767,0,0.11721022975334802,28498405.71940596
"RBFNet(50,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.8261654156798898,0.7465949101007798,3839.6181738497135,1.7233688372488578,0,0.12689610031679222,32471298.654313017
"RBFNet(54,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.668967007017432,0.6588468525340783,6.8405024394270235,48.39267227547944,0,0.1373823795883263,29943884.65228684
"RBFNet(59,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.6380730245943754,0.6280020003297611,2646.2089715866045,5368.901694232008,0,0.14873521072935114,31431232.188270316
"RBFNet(64,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.5218268769425608,0.5199635312269721,232656475.72100577,12.057368458703182,0,0.16102620275609392,30233895.605280057
"RBFNet(69,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.4943965579153991,0.47693398254256036,2003.4872681771162,10686.329946322861,0,0.17433288221999882,26051117.938854504
"RBFNet(75,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.4303036266290924,0.4372890670181777,282371.0638504497,3559912.9695560113,0,0.18873918221350972,22455478.99445265
"RBFNet(81,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.3096227113394005,0.33222529115845634,38987.45338847916,348396768.01275086,0,0.20433597178569418,23019821.891827997
"RBFNet(88,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.22610527291408153,0.3877116246740874,5790.461543760887,4976484.445198332,0,0.2212216291070449,15611045.194073949
"RBFNet(95,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.15759351281729125,0.17836136781856604,69.7068333162014,24.683157315798134,0,0.23950266199874853,14710193.46402944
"RBFNet(103,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.14415644670506775,0.1633989336411236,255736.5717491002,5.976255555411853,0,0.2592943797404667,13704115.015750507
"RBFNet(111,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.13247754467790884,0.25317687393774474,1207.7465316248163,34.54658206738301,0,0.2807216203941177,13955894.687619241
